letter	frequency
2000	4584.52
2001	1030.87
2002	3695.51
2003	3912.17
2005	1259.27
2006	7287.98
2007	2637.96
2008	9882.62
2009	2751.41
2010	2968.85
2011	3184.16
2012	8930.52
2013	8459.95
2014	11153.66
2015	4548.35
2016	7752.87
2017	8256.64
2018	7602.65
2019	4828.24
2020	6200.70
2021	6504.50
2022	742.21
2023	2639.40
2024	2863.12
2027	3842.21
2028	9291.26
2029	3792.87
2030	5103.17
2031	1042.88
2032	11938.95
2033	8885.75
2034	6975.80
2035	7296.74
2036	3981.30
2037	2217.18
2038	362.38
2039	4578.89
2040	1457.60
2041	1369.58
2042	3093.32
2043	5280.13
2044	3939.00
2045	6671.78
2046	3519.12
2047	2496.27
2048	2566.77
2049	3104.49
2050	6167.34
2052	2325.52
2053	1881.85
2054	4122.51
2055	3508.93
2056	7630.27
2057	3277.03
2058	3714.02
2059	1879.25
2060	601.2
2062	4638.33
2063	5579.23
2064	4052.57
2065	1151.85
2066	6140.33
2067	3569.74
2068	6207.89
2069	1663.52
2070	7895.69
2071	3036.14
2072	939.62
2073	6549.66
2074	5330.05
2075	4051.90
2076	5938.61
2077	4320.32
2078	5160.08
2079	5282.80
2080	2874.56
2081	4049.85
2082	3457.49
2083	6284.71
2084	1408.03
2085	3915.01
2086	683.8
2088	2031.11
2089	6401.26
2090	6751.88
2091	99.72
2092	3138.20
2093	9722.89
2094	4001.38
2095	1818.15
2096	3779.91
2097	3006.52
2098	6713.94
2099	8292.09
2100	5733.97
2101	3947.19
2103	6843.67
2104	4543.37
2105	7615.61
2106	3182.58
2107	7750.59
2108	3915.01
2109	1654.70
2110	3616.20
2111	1496.31
2112	7053.81
2113	4793.86
2114	2133.37
2115	5690.67
2116	7132.10
2117	3581.35
2118	1543.73
2119	3757.28
2120	4609.77
2121	667.53
2122	6477.97
2123	2985.39
2124	2484.21
2125	1577.75
2126	174.61
2127	3033.75
2128	4756.85
2129	7692.59
2130	3140.09
2131	22939.22
2132	660.07
2133	9369.66
2134	5250.05
2136	5350.58
2137	2660.53
2138	4506.88
2139	3261.08
2140	4688.49
2141	2041.54
2142	2688.03
2143	5608.41
2144	4634.62
2145	694.21
2146	1953.56
2147	1203.63
2148	2509.19
2149	6609.12
2150	2264.61
2151	1307.02
2152	5732.22
2153	5743.05
2154	4819.44
2155	3927.63
2156	6670.23
2157	3859.75
2158	3911.62
2159	4838.56
2160	6774.82
2161	5872.94
2162	5220.11
2163	3647.14
2164	4391.52
2165	3639.08
2166	11294.12
2167	4866.24
2169	3306.32
2170	3005.81
2171	366.14
2172	2479.54
2173	9369.46
2174	3667.55
2175	8912.38
2176	4250.29
2177	1172.31
2178	3197.74
2179	7519.00
2180	4515.34
2181	3944.09
2182	1592.42
2183	5080.14
2184	4384.77
2185	6274.22
2186	3651.86
2188	3685.94
2189	5265.84
2190	4478.10
2191	5795.24
2192	3960.53
2193	4985.83
2194	2192.00
2195	2084.55
2196	3841.87
2197	8046.44
2198	2041.27
2199	2643.82
2200	8197.30
2201	6440.79
2202	2121.95
2203	5738.93
2204	4833.92
2205	4135.71
2206	11963.73
2207	537.86
2208	12603.33
2209	4017.08
2210	6239.91
2211	3330.33
2212	804.81
2213	6898.60
