letter	frequency
012-2426-2000	4584.52
012-2426-2001	1030.87
012-2426-2002	3695.51
012-2426-2003	3912.17
012-2426-2005	1259.27
012-2426-2006	7287.98
012-2426-2007	2637.96
012-2426-2008	9882.62
012-2426-2009	2751.41
012-2426-2010	2968.85
012-2426-2011	3184.16
012-2426-2012	8930.52
012-2426-2013	8459.95
012-2426-2014	11153.66
012-2426-2015	4548.35
012-2426-2016	7752.87
012-2426-2017	8256.64
012-2426-2018	7602.65
012-2426-2019	4828.24
012-2426-2020	6200.70
012-2426-2021	6504.50
012-2426-2022	742.21
012-2426-2023	2639.40
012-2426-2024	2863.12
012-2426-2027	3842.21
012-2426-2028	9291.26
012-2426-2029	3792.87
012-2426-2030	5103.17
012-2426-2031	1042.88
012-2426-2032	11938.95
012-2426-2033	8885.75
012-2426-2034	6975.80
012-2426-2035	7296.74
012-2426-2036	3981.30
012-2426-2037	2217.18
012-2426-2038	362.38
012-2426-2039	4578.89
012-2426-2040	1457.60
012-2426-2041	1369.58
012-2426-2042	3093.32
012-2426-2043	5280.13
012-2426-2044	3939.00
012-2426-2045	6671.78
012-2426-2046	3519.12
012-2426-2047	2496.27
012-2426-2048	2566.77
012-2426-2049	3104.49
012-2426-2050	6167.34
012-2426-2052	2325.52
012-2426-2053	1881.85
012-2426-2054	4122.51
012-2426-2055	3508.93
012-2426-2056	7630.27
012-2426-2057	3277.03
012-2426-2058	3714.02
012-2426-2059	1879.25
012-2426-2060	601.2
012-2426-2062	4638.33
012-2426-2063	5579.23
012-2426-2064	4052.57
012-2426-2065	1151.85
012-2426-2066	6140.33
012-2426-2067	3569.74
012-2426-2068	6207.89
012-2426-2069	1663.52
012-2426-2070	7895.69
012-2426-2071	3036.14
012-2426-2072	939.62
012-2426-2073	6549.66
012-2426-2074	5330.05
012-2426-2075	4051.90
012-2426-2076	5938.61
012-2426-2077	4320.32
012-2426-2078	5160.08
012-2426-2079	5282.80
012-2426-2080	2874.56
012-2426-2081	4049.85
012-2426-2082	3457.49
012-2426-2083	6284.71
012-2426-2084	1408.03
012-2426-2085	3915.01
012-2426-2086	683.8
012-2426-2088	2031.11
012-2426-2089	6401.26
012-2426-2090	6751.88
012-2426-2091	99.72
012-2426-2092	3138.20
012-2426-2093	9722.89
012-2426-2094	4001.38
012-2426-2095	1818.15
012-2426-2096	3779.91
012-2426-2097	3006.52
012-2426-2098	6713.94
012-2426-2099	8292.09
012-2426-2100	5733.97
012-2426-2101	3947.19
012-2426-2103	6843.67
012-2426-2104	4543.37
012-2426-2105	7615.61
012-2426-2106	3182.58
012-2426-2107	7750.59
012-2426-2108	3915.01
012-2426-2109	1654.70
012-2426-2110	3616.20
012-2426-2111	1496.31
012-2426-2112	7053.81
012-2426-2113	4793.86
012-2426-2114	2133.37
012-2426-2115	5690.67
012-2426-2116	7132.10
012-2426-2117	3581.35
012-2426-2118	1543.73
012-2426-2119	3757.28
012-2426-2120	4609.77
012-2426-2121	667.53
012-2426-2122	6477.97
012-2426-2123	2985.39
012-2426-2124	2484.21
012-2426-2125	1577.75
012-2426-2126	174.61
012-2426-2127	3033.75
012-2426-2128	4756.85
012-2426-2129	7692.59
012-2426-2130	3140.09
012-2426-2131	22939.22
012-2426-2132	660.07
012-2426-2133	9369.66
012-2426-2134	5250.05
012-2426-2136	5350.58
012-2426-2137	2660.53
012-2426-2138	4506.88
012-2426-2139	3261.08
012-2426-2140	4688.49
012-2426-2141	2041.54
012-2426-2142	2688.03
012-2426-2143	5608.41
012-2426-2144	4634.62
012-2426-2145	694.21
012-2426-2146	1953.56
012-2426-2147	1203.63
012-2426-2148	2509.19
012-2426-2149	6609.12
012-2426-2150	2264.61
012-2426-2151	1307.02
012-2426-2152	5732.22
012-2426-2153	5743.05
012-2426-2154	4819.44
012-2426-2155	3927.63
012-2426-2156	6670.23
012-2426-2157	3859.75
012-2426-2158	3911.62
012-2426-2159	4838.56
012-2426-2160	6774.82
012-2426-2161	5872.94
012-2426-2162	5220.11
012-2426-2163	3647.14
012-2426-2164	4391.52
012-2426-2165	3639.08
012-2426-2166	11294.12
012-2426-2167	4866.24
012-2426-2169	3306.32
012-2426-2170	3005.81
012-2426-2171	366.14
012-2426-2172	2479.54
012-2426-2173	9369.46
012-2426-2174	3667.55
012-2426-2175	8912.38
012-2426-2176	4250.29
012-2426-2177	1172.31
012-2426-2178	3197.74
012-2426-2179	7519.00
012-2426-2180	4515.34
012-2426-2181	3944.09
012-2426-2182	1592.42
012-2426-2183	5080.14
012-2426-2184	4384.77
012-2426-2185	6274.22
012-2426-2186	3651.86
012-2426-2188	3685.94
012-2426-2189	5265.84
012-2426-2190	4478.10
012-2426-2191	5795.24
012-2426-2192	3960.53
012-2426-2193	4985.83
012-2426-2194	2192.00
012-2426-2195	2084.55
012-2426-2196	3841.87
012-2426-2197	8046.44
012-2426-2198	2041.27
012-2426-2199	2643.82
012-2426-2200	8197.30
012-2426-2201	6440.79
012-2426-2202	2121.95
012-2426-2203	5738.93
012-2426-2204	4833.92
012-2426-2205	4135.71
012-2426-2206	11963.73
012-2426-2207	537.86
012-2426-2208	12603.33
012-2426-2209	4017.08
012-2426-2210	6239.91
012-2426-2211	3330.33
012-2426-2212	804.81
012-2426-2213	6898.60
012-2426-2214	12673.92
012-2426-2215	1975.87
012-2426-2216	3147.87
012-2426-2217	3549.08
012-2426-2218	3100.75
012-2426-2219	1674.97
012-2426-2220	10653.56
012-2426-2221	2889.33
012-2426-2222	4727.31
012-2426-2223	4857.05
012-2426-2224	5724.11
012-2426-2225	6737.65
012-2426-2226	6464.14
012-2426-2227	4134.55
012-2426-2228	21223.42
012-2426-2229	7892.76
012-2426-2230	991.06
012-2426-2231	2480.85
012-2426-2232	6444.64
012-2426-2233	3908.40
012-2426-2234	283.41
012-2426-2235	5602.51
012-2426-2236	5530.56
012-2426-2237	4338.61
012-2426-2238	1088.17
012-2426-2239	3795.41
012-2426-2240	4852.38
012-2426-2241	720.56
012-2426-2242	4429.58
012-2426-2243	3429.06
012-2426-2244	1132.99
012-2426-2245	3248.30
012-2426-2246	1832.42
012-2426-2247	6167.48
012-2426-2248	8150.76
012-2426-2249	4793.66
012-2426-2250	3100.15
012-2426-2251	1859.64
012-2426-2252	4321.43
012-2426-2253	3678.70
012-2426-2254	4523.22
012-2426-2255	1257.10
012-2426-2256	1683.08
012-2426-2257	1231.63
012-2426-2258	3335.10
012-2426-2259	3848.89
012-2426-2260	4065.01
012-2426-2261	1876.57
012-2426-2262	6091.72
012-2426-2263	12434.92
012-2426-2264	1528.34
012-2426-2265	6523.83
012-2426-2266	2531.14
012-2426-2267	4550.56
012-2426-2268	3521.58
012-2426-2269	4620.40
012-2426-2270	3825.47
012-2426-2271	3722.28
012-2426-2272	4037.19
012-2426-2273	4509.93
012-2426-2274	2229.10
012-2426-2275	4987.01
012-2426-2276	7392.58
012-2426-2277	4726.28
012-2426-2278	4199.97
012-2426-2279	7629.78
012-2426-2280	1790.72
012-2426-2281	4179.56
012-2426-2282	3847.77
012-2426-2283	804.01
